,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date
116,empty,Sri Lanka,6,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,12.0,May
117,empty,Switzerland,18,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,22.5,May
118,empty,Thailand,36,Thailand,THA,764,Thailand,7.35,Statista,2736.0,4.8979591836734695,May
119,empty,The Netherlands,24,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,8.571428571428571,May
120,empty,Turkey,6,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,0.43956043956043955,May
121,empty,Uganda,48,Uganda,UGA,800,,,,,,May
122,empty,United Arab Emirates,36,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,6.90978886756238,May
123,empty,United Kingdom,1242,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,69.97183098591549,May
124,empty,United States,3042,United States,USA,840,United States,64.2,Statista,454626.0,47.38317757009346,May
125,enthusiasm,Australia,102,Australia,AUS,36,Australia,5.0,Statista,22578.0,20.4,May
126,enthusiasm,Belgium,24,Belgium,BEL,56,Belgium,1.0,,2268.0,24.0,May
127,enthusiasm,Brazil,12,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.8362369337979094,May
128,enthusiasm,Canada,414,Canada,CAN,124,Canada,8.15,Statista,38382.0,50.79754601226993,May
129,enthusiasm,China,18,China,CHN,156,China,2.0,NY Times,7482.0,9.0,May
130,enthusiasm,France,18,France,FRA,250,France,8.9,Statista,3192.0,2.0224719101123596,May
131,enthusiasm,Germany,18,Germany,DEU,276,Germany,6.1,Statista,4140.0,2.9508196721311477,May
132,enthusiasm,Ghana,24,Ghana,GHA,288,Ghana,2.0,,6312.0,12.0,May
133,enthusiasm,India,1818,India,IND,356,India,13.15,Statista,90480.0,138.2509505703422,May
134,enthusiasm,Indonesia,48,Indonesia,IDN,360,Indonesia,11.8,,3954.0,4.067796610169491,May
135,enthusiasm,Ireland,78,Ireland,IRL,372,Ireland,2.5,,12138.0,31.2,May
136,enthusiasm,Italy,30,Italy,ITA,380,Italy,2.5,,3822.0,12.0,May
137,enthusiasm,Japan,18,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.37151702786377705,May
138,enthusiasm,Kenya,96,Kenya,KEN,404,Kenya,8.2,google,9228.0,11.707317073170733,May
139,enthusiasm,Kingdom of Saudi Arabia,24,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,1.6,May
140,enthusiasm,Malaysia,72,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,18.461538461538463,May
141,enthusiasm,Mexico,6,Mexico,MEX,484,Mexico,25.7,,1746.0,0.23346303501945526,May
142,enthusiasm,New Zealand,24,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,26.666666666666664,May
143,enthusiasm,Nigeria,288,Nigeria,NGA,566,Nigeria,8.4,,38400.0,34.285714285714285,May
144,enthusiasm,Pakistan,150,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,57.69230769230769,May
145,enthusiasm,Republic of Korea,6,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,0.9917355371900827,May
146,enthusiasm,Republic of the Philippines,78,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,10.909090909090908,May
147,enthusiasm,Singapore,12,Singapore,SGP,702,Singapore,1.3,,3246.0,9.23076923076923,May
148,enthusiasm,South Africa,276,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,32.470588235294116,May
149,enthusiasm,Spain,24,Spain,ESP,724,Spain,8.4,Statista,4080.0,2.857142857142857,May
150,enthusiasm,Sweden,6,Sweden,SWE,752,Sweden,2.0,,1422.0,3.0,May
151,enthusiasm,Switzerland,18,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,22.5,May
152,enthusiasm,Thailand,24,Thailand,THA,764,Thailand,7.35,Statista,2736.0,3.2653061224489797,May
153,enthusiasm,The Netherlands,18,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,6.428571428571429,May
154,enthusiasm,Turkey,18,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,1.3186813186813187,May
155,enthusiasm,Uganda,114,Uganda,UGA,800,,,,,,May
156,enthusiasm,United Arab Emirates,36,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,6.90978886756238,May
157,enthusiasm,United Kingdom,2076,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,116.95774647887323,May
158,enthusiasm,United States,3480,United States,USA,840,United States,64.2,Statista,454626.0,54.205607476635514,May
159,fun,Australia,162,Australia,AUS,36,Australia,5.0,Statista,22578.0,32.4,May
160,fun,Belgium,12,Belgium,BEL,56,Belgium,1.0,,2268.0,12.0,May
161,fun,Brazil,12,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.8362369337979094,May
162,fun,Canada,318,Canada,CAN,124,Canada,8.15,Statista,38382.0,39.01840490797546,May
163,fun,China,24,China,CHN,156,China,2.0,NY Times,7482.0,12.0,May
164,fun,France,24,France,FRA,250,France,8.9,Statista,3192.0,2.696629213483146,May
165,fun,Germany,36,Germany,DEU,276,Germany,6.1,Statista,4140.0,5.901639344262295,May
166,fun,Ghana,48,Ghana,GHA,288,Ghana,2.0,,6312.0,24.0,May
167,fun,Hong Kong,18,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,12.0,May
168,fun,India,768,India,IND,356,India,13.15,Statista,90480.0,58.40304182509506,May
169,fun,Indonesia,54,Indonesia,IDN,360,Indonesia,11.8,,3954.0,4.576271186440677,May
170,fun,Ireland,144,Ireland,IRL,372,Ireland,2.5,,12138.0,57.6,May
171,fun,Italy,84,Italy,ITA,380,Italy,2.5,,3822.0,33.6,May
172,fun,Japan,24,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.49535603715170273,May
173,fun,Kenya,60,Kenya,KEN,404,Kenya,8.2,google,9228.0,7.317073170731708,May
174,fun,Kingdom of Saudi Arabia,12,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,0.8,May
175,fun,Malaysia,102,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,26.153846153846153,May
176,fun,Mexico,24,Mexico,MEX,484,Mexico,25.7,,1746.0,0.933852140077821,May
177,fun,New Zealand,30,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,33.333333333333336,May
178,fun,Nigeria,468,Nigeria,NGA,566,Nigeria,8.4,,38400.0,55.714285714285715,May
