,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date
93,depressed,Thailand,42,Thailand,THA,764,Thailand,7.35,Statista,2736.0,5.714285714285714,March
94,depressed,The Netherlands,42,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,15.000000000000002,March
95,depressed,Turkey,24,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,1.7582417582417582,March
96,depressed,Uganda,42,Uganda,UGA,800,,,,,,March
97,depressed,United Arab Emirates,60,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,11.516314779270633,March
98,depressed,United Kingdom,1632,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,91.94366197183099,March
99,depressed,United States,6054,United States,USA,840,United States,64.2,Statista,454626.0,94.29906542056074,March
100,empty,Australia,294,Australia,AUS,36,Australia,5.0,Statista,22578.0,58.8,March
101,empty,Belgium,24,Belgium,BEL,56,Belgium,1.0,,2268.0,24.0,March
102,empty,Brazil,30,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,2.0905923344947737,March
103,empty,Canada,486,Canada,CAN,124,Canada,8.15,Statista,38382.0,59.6319018404908,March
104,empty,China,54,China,CHN,156,China,2.0,NY Times,7482.0,27.0,March
105,empty,France,36,France,FRA,250,France,8.9,Statista,3192.0,4.044943820224719,March
106,empty,Germany,138,Germany,DEU,276,Germany,6.1,Statista,4140.0,22.622950819672134,March
107,empty,Ghana,102,Ghana,GHA,288,Ghana,2.0,,6312.0,51.0,March
108,empty,Hong Kong,30,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,20.0,March
109,empty,India,876,India,IND,356,India,13.15,Statista,90480.0,66.61596958174904,March
110,empty,Indonesia,66,Indonesia,IDN,360,Indonesia,11.8,,3954.0,5.59322033898305,March
111,empty,Ireland,252,Ireland,IRL,372,Ireland,2.5,,12138.0,100.8,March
112,empty,Italy,78,Italy,ITA,380,Italy,2.5,,3822.0,31.2,March
113,empty,Japan,24,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.49535603715170273,March
114,empty,Kenya,102,Kenya,KEN,404,Kenya,8.2,google,9228.0,12.439024390243903,March
115,empty,Kingdom of Saudi Arabia,24,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,1.6,March
